index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
111265,POOR,2022-01-05 11:46:10+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,206.0,0.0,168.48,15.39,1666.67,26.78,0.0,0.0,25.45,9.26,69.18,2.25,60.78,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111309,POOR,2022-01-05 12:01:10+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,206.0,0.0,156.36,12.94,833.33,21.83,0.0,0.0,25.49,9.43,67.45,2.73,60.49,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111352,POOR,2022-01-05 12:16:10+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,206.0,0.0,137.47,10.71,0.0,16.96,0.0,0.0,25.56,9.76,65.51,3.08,60.11,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111393,POOR,2022-01-05 12:31:10+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,206.0,0.0,126.21,11.47,0.0,17.88,0.0,0.0,25.62,9.97,65.38,3.09,59.83,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111439,MODERATE,2022-01-05 12:46:10+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,156.0,0.0,117.85,11.23,0.0,18.2,0.0,0.0,25.68,11.52,65.55,3.35,59.39,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111482,MODERATE,2022-01-05 13:01:10+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,156.0,0.0,112.23,10.4,0.0,17.23,0.0,0.0,25.74,17.07,65.66,3.48,58.87,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111529,MODERATE,2022-01-05 13:16:10+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,156.0,0.0,109.74,10.1,0.0,16.53,0.0,0.0,25.79,18.48,65.66,3.42,58.2,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111574,MODERATE,2022-01-05 13:31:11+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,156.0,0.0,105.88,9.23,0.0,15.14,0.0,0.0,25.9,15.44,65.47,3.34,57.36,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111613,MODERATE,2022-01-05 13:46:10+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,134.0,0.0,101.34,8.78,0.0,14.29,0.0,0.0,26.03,14.66,65.06,3.27,56.59,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111655,MODERATE,2022-01-05 14:01:10+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,134.0,0.0,97.74,8.37,0.0,14.3,0.0,0.0,26.13,14.02,65.0,3.21,55.86,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111694,MODERATE,2022-01-05 14:16:11+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,134.0,0.0,93.95,7.21,0.0,12.3,0.0,0.0,26.22,13.69,65.17,3.16,54.91,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111737,MODERATE,2022-01-05 14:31:10+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,134.0,0.0,90.29,6.35,0.0,11.3,0.0,0.0,26.29,13.42,65.08,3.11,54.1,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111789,MODERATE,2022-01-05 14:46:12+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,119.0,0.0,86.41,6.85,0.0,20.21,0.0,0.0,26.32,12.96,64.76,3.13,53.68,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111824,MODERATE,2022-01-05 15:01:12+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,119.0,0.0,82.38,7.63,0.0,25.16,0.0,0.0,26.35,12.46,64.87,3.17,53.44,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111870,MODERATE,2022-01-05 15:16:16+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,119.0,0.0,78.4,7.07,0.0,18.25,0.0,0.0,26.37,12.16,64.91,3.21,53.37,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111909,MODERATE,2022-01-05 15:31:13+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,119.0,0.0,75.62,6.0,0.0,13.23,0.0,0.0,26.4,11.8,64.51,3.16,53.19,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111951,MODERATE,2022-01-05 15:46:11+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,106.0,0.0,73.69,5.39,0.0,10.87,0.0,0.0,26.42,11.28,64.69,3.09,52.85,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
111997,MODERATE,2022-01-05 16:01:12+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,106.0,0.0,72.11,5.08,0.0,10.09,0.0,0.0,26.43,10.7,64.92,3.12,52.59,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
112044,MODERATE,2022-01-05 16:16:12+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,106.0,0.0,70.07,4.66,0.0,9.04,0.0,0.0,26.44,10.02,64.69,3.19,52.48,0.94,73.849475,18.532001,Shivaji Nagar ST Stand_45
